inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,max_stock_level,last_restock_date,days_in_stock,stock_status
INV000001,PRD0001,WH-NORTH-01,988,129,2328,2023-07-05,40,In Stock
INV000002,PRD0001,WH-SOUTH-01,1670,60,3091,2024-11-18,164,In Stock
INV000003,PRD0001,WH-EAST-01,975,172,4121,2023-10-04,88,In Stock
INV000004,PRD0001,WH-WEST-01,729,122,2385,2024-10-30,109,In Stock
INV000005,PRD0001,WH-CENTRAL-01,447,278,3984,2023-09-30,85,In Stock
INV000006,PRD0002,WH-NORTH-01,1327,182,4663,2023-06-01,238,In Stock
INV000007,PRD0002,WH-SOUTH-01,985,162,1771,2024-04-11,101,In Stock
INV000008,PRD0002,WH-EAST-01,943,71,4674,2023-12-20,137,In Stock
INV000009,PRD0002,WH-WEST-01,1933,243,4822,2023-08-13,327,In Stock
INV000010,PRD0002,WH-CENTRAL-01,1366,141,2303,2024-08-07,10,In Stock
INV000011,PRD0003,WH-NORTH-01,3,256,4860,2024-02-18,78,Low Stock
INV000012,PRD0003,WH-SOUTH-01,1394,158,3331,2024-04-22,125,In Stock
INV000013,PRD0003,WH-EAST-01,140,282,2760,2023-12-23,271,Low Stock
INV000014,PRD0003,WH-WEST-01,312,80,3923,2023-10-31,31,In Stock
INV000015,PRD0003,WH-CENTRAL-01,1561,126,4396,2023-08-10,327,In Stock
INV000016,PRD0004,WH-NORTH-01,1094,165,2881,2023-10-16,159,In Stock
INV000017,PRD0004,WH-SOUTH-01,1152,92,2124,2023-04-10,24,In Stock
INV000018,PRD0004,WH-EAST-01,1652,186,3766,2023-08-09,335,In Stock
INV000019,PRD0004,WH-WEST-01,391,139,4136,2023-08-26,11,In Stock
INV000020,PRD0004,WH-CENTRAL-01,609,264,3086,2023-11-22,335,In Stock
INV000021,PRD0005,WH-NORTH-01,888,218,1906,2023-05-04,228,In Stock
INV000022,PRD0005,WH-SOUTH-01,1893,249,4219,2024-08-30,78,In Stock
INV000023,PRD0005,WH-EAST-01,815,238,2949,2023-03-20,92,In Stock
INV000024,PRD0005,WH-WEST-01,436,147,2288,2024-09-23,163,In Stock
INV000025,PRD0005,WH-CENTRAL-01,1665,289,2910,2023-11-22,100,In Stock
INV000026,PRD0006,WH-NORTH-01,1969,219,2336,2023-04-13,125,In Stock
INV000027,PRD0006,WH-SOUTH-01,822,272,3982,2023-01-23,163,In Stock
INV000028,PRD0006,WH-EAST-01,299,215,4081,2023-10-15,149,In Stock
INV000029,PRD0006,WH-WEST-01,911,86,3719,2024-02-05,155,In Stock
INV000030,PRD0006,WH-CENTRAL-01,952,173,4913,2024-08-28,41,In Stock
INV000031,PRD0007,WH-NORTH-01,1697,279,3679,2023-11-03,277,In Stock
INV000032,PRD0007,WH-SOUTH-01,476,77,4791,2024-07-12,102,In Stock
INV000033,PRD0007,WH-EAST-01,1577,191,3279,2023-08-12,226,In Stock
INV000034,PRD0007,WH-WEST-01,1420,267,3832,2024-04-23,181,In Stock
INV000035,PRD0007,WH-CENTRAL-01,650,267,2919,2024-11-29,110,In Stock
INV000036,PRD0008,WH-NORTH-01,295,272,4775,2023-01-25,265,In Stock
INV000037,PRD0008,WH-SOUTH-01,191,247,3251,2023-10-02,243,Low Stock
INV000038,PRD0008,WH-EAST-01,7,62,4697,2024-06-25,31,Low Stock
INV000039,PRD0008,WH-WEST-01,837,255,2311,2024-05-16,63,In Stock
INV000040,PRD0008,WH-CENTRAL-01,1384,175,1874,2024-07-12,133,In Stock
INV000041,PRD0009,WH-NORTH-01,1784,84,2335,2024-05-26,150,In Stock
INV000042,PRD0009,WH-SOUTH-01,1432,80,2467,2024-06-25,282,In Stock
INV000043,PRD0009,WH-EAST-01,1980,209,1774,2023-01-19,214,In Stock
INV000044,PRD0009,WH-WEST-01,1506,182,2727,2023-04-19,328,In Stock
INV000045,PRD0009,WH-CENTRAL-01,1007,206,3883,2024-11-14,237,In Stock
INV000046,PRD0010,WH-NORTH-01,1183,105,1547,2024-05-26,55,In Stock
INV000047,PRD0010,WH-SOUTH-01,1425,170,4848,2023-06-27,271,In Stock
INV000048,PRD0010,WH-EAST-01,1264,87,3079,2024-06-29,83,In Stock
INV000049,PRD0010,WH-WEST-01,491,257,2603,2023-09-13,173,In Stock
INV000050,PRD0010,WH-CENTRAL-01,616,191,3594,2024-04-05,286,In Stock
INV000051,PRD0011,WH-NORTH-01,1481,148,3742,2024-08-15,50,In Stock
INV000052,PRD0011,WH-SOUTH-01,1451,288,3317,2024-02-15,210,In Stock
INV000053,PRD0011,WH-EAST-01,1671,173,1552,2024-09-25,291,In Stock
INV000054,PRD0011,WH-WEST-01,1761,197,1639,2024-05-31,49,In Stock
INV000055,PRD0011,WH-CENTRAL-01,1118,114,2367,2023-05-04,251,In Stock
INV000056,PRD0012,WH-NORTH-01,1545,66,3853,2023-11-11,334,In Stock
INV000057,PRD0012,WH-SOUTH-01,1188,66,1809,2024-04-18,252,In Stock
INV000058,PRD0012,WH-EAST-01,900,289,2368,2023-05-07,326,In Stock
INV000059,PRD0012,WH-WEST-01,720,230,2905,2023-01-24,194,In Stock
INV000060,PRD0012,WH-CENTRAL-01,360,97,3451,2023-10-07,364,In Stock
INV000061,PRD0013,WH-NORTH-01,1275,267,1556,2023-01-15,361,In Stock
INV000062,PRD0013,WH-SOUTH-01,1791,60,2852,2023-12-26,204,In Stock
INV000063,PRD0013,WH-EAST-01,1704,205,4713,2023-09-06,260,In Stock
INV000064,PRD0013,WH-WEST-01,1025,290,2296,2024-04-30,26,In Stock
INV000065,PRD0013,WH-CENTRAL-01,1157,229,4080,2023-07-24,149,In Stock
INV000066,PRD0014,WH-NORTH-01,703,91,1566,2024-07-08,329,In Stock
INV000067,PRD0014,WH-SOUTH-01,198,117,3013,2024-06-05,44,In Stock
INV000068,PRD0014,WH-EAST-01,858,222,1707,2024-04-15,307,In Stock
INV000069,PRD0014,WH-WEST-01,364,51,1744,2023-11-26,346,In Stock
INV000070,PRD0014,WH-CENTRAL-01,1377,79,4438,2023-07-07,204,In Stock
INV000071,PRD0015,WH-NORTH-01,1634,267,4584,2023-12-12,354,In Stock
INV000072,PRD0015,WH-SOUTH-01,413,93,2472,2023-01-31,79,In Stock
INV000073,PRD0015,WH-EAST-01,477,186,2981,2023-06-01,8,In Stock
INV000074,PRD0015,WH-WEST-01,296,296,3485,2023-01-06,218,In Stock
INV000075,PRD0015,WH-CENTRAL-01,1771,269,2584,2023-05-05,109,In Stock
INV000076,PRD0016,WH-NORTH-01,1024,222,1782,2023-10-06,168,In Stock
INV000077,PRD0016,WH-SOUTH-01,1794,152,2364,2023-12-23,252,In Stock
INV000078,PRD0016,WH-EAST-01,1247,298,1826,2024-05-16,159,In Stock
INV000079,PRD0016,WH-WEST-01,1925,60,4229,2024-06-25,117,In Stock
INV000080,PRD0016,WH-CENTRAL-01,1014,186,3209,2024-01-03,353,In Stock
INV000081,PRD0017,WH-NORTH-01,1597,206,4405,2024-01-29,191,In Stock
INV000082,PRD0017,WH-SOUTH-01,172,283,3052,2023-05-27,276,Low Stock
INV000083,PRD0017,WH-EAST-01,1957,147,3798,2024-04-22,203,In Stock
INV000084,PRD0017,WH-WEST-01,1788,187,4318,2023-07-02,285,In Stock
INV000085,PRD0017,WH-CENTRAL-01,1465,56,2949,2024-09-22,217,In Stock
INV000086,PRD0018,WH-NORTH-01,46,61,4222,2024-09-18,35,Low Stock
INV000087,PRD0018,WH-SOUTH-01,1665,248,2145,2024-08-28,181,In Stock
INV000088,PRD0018,WH-EAST-01,626,141,2521,2024-07-11,162,In Stock
INV000089,PRD0018,WH-WEST-01,1869,79,1926,2024-04-25,115,In Stock
INV000090,PRD0018,WH-CENTRAL-01,889,272,3539,2023-04-25,19,In Stock
INV000091,PRD0019,WH-NORTH-01,1798,178,2717,2023-06-05,167,In Stock
INV000092,PRD0019,WH-SOUTH-01,1084,165,4088,2024-06-02,256,In Stock
INV000093,PRD0019,WH-EAST-01,569,291,4309,2023-03-24,316,In Stock
INV000094,PRD0019,WH-WEST-01,1394,298,4413,2024-02-18,357,In Stock
INV000095,PRD0019,WH-CENTRAL-01,1166,226,4557,2024-09-03,301,In Stock
INV000096,PRD0020,WH-NORTH-01,175,101,2890,2023-06-14,75,In Stock
INV000097,PRD0020,WH-SOUTH-01,415,211,1501,2023-06-21,253,In Stock
INV000098,PRD0020,WH-EAST-01,1639,149,3740,2023-06-19,153,In Stock
INV000099,PRD0020,WH-WEST-01,1086,110,2805,2024-09-08,321,In Stock
INV000100,PRD0020,WH-CENTRAL-01,157,273,3721,2024-07-25,202,Low Stock
INV000101,PRD0021,WH-NORTH-01,1174,267,2771,2024-02-22,90,In Stock
INV000102,PRD0021,WH-SOUTH-01,1271,126,3259,2024-11-12,240,In Stock
INV000103,PRD0021,WH-EAST-01,1565,277,2023,2023-12-18,66,In Stock
INV000104,PRD0021,WH-WEST-01,1799,91,2345,2024-10-16,218,In Stock
INV000105,PRD0021,WH-CENTRAL-01,413,235,4641,2024-07-06,348,In Stock
INV000106,PRD0022,WH-NORTH-01,1423,295,4220,2023-02-13,237,In Stock
INV000107,PRD0022,WH-SOUTH-01,1697,273,2472,2023-04-28,307,In Stock
INV000108,PRD0022,WH-EAST-01,287,208,2720,2023-10-31,268,In Stock
INV000109,PRD0022,WH-WEST-01,638,205,1620,2024-05-11,333,In Stock
INV000110,PRD0022,WH-CENTRAL-01,96,153,3853,2024-07-31,313,Low Stock
INV000111,PRD0023,WH-NORTH-01,1668,173,2699,2024-01-28,85,In Stock
INV000112,PRD0023,WH-SOUTH-01,746,72,3047,2024-06-07,115,In Stock
INV000113,PRD0023,WH-EAST-01,171,89,1864,2023-01-05,230,In Stock
INV000114,PRD0023,WH-WEST-01,592,129,1947,2023-08-03,47,In Stock
INV000115,PRD0023,WH-CENTRAL-01,582,261,1688,2023-07-31,231,In Stock
INV000116,PRD0024,WH-NORTH-01,849,53,4871,2024-01-08,137,In Stock
INV000117,PRD0024,WH-SOUTH-01,1793,127,4364,2023-12-15,260,In Stock
INV000118,PRD0024,WH-EAST-01,1198,229,3552,2023-04-08,355,In Stock
INV000119,PRD0024,WH-WEST-01,99,229,2396,2024-01-10,151,Low Stock
INV000120,PRD0024,WH-CENTRAL-01,1001,190,4009,2024-06-08,103,In Stock
INV000121,PRD0025,WH-NORTH-01,1089,137,3354,2024-03-27,7,In Stock
INV000122,PRD0025,WH-SOUTH-01,1586,271,2172,2023-08-30,193,In Stock
INV000123,PRD0025,WH-EAST-01,1561,156,1671,2024-11-27,290,In Stock
INV000124,PRD0025,WH-WEST-01,173,141,3011,2023-09-30,265,In Stock
INV000125,PRD0025,WH-CENTRAL-01,1546,61,3114,2023-11-21,209,In Stock
INV000126,PRD0026,WH-NORTH-01,1601,153,3272,2024-10-22,325,In Stock
INV000127,PRD0026,WH-SOUTH-01,1534,266,3754,2023-03-02,247,In Stock
INV000128,PRD0026,WH-EAST-01,1141,52,2569,2023-09-15,175,In Stock
INV000129,PRD0026,WH-WEST-01,130,265,1968,2024-03-24,197,Low Stock
INV000130,PRD0026,WH-CENTRAL-01,1730,278,1536,2024-08-27,35,In Stock
INV000131,PRD0027,WH-NORTH-01,1327,261,4180,2024-04-18,141,In Stock
INV000132,PRD0027,WH-SOUTH-01,122,124,1738,2023-06-02,254,Low Stock
INV000133,PRD0027,WH-EAST-01,517,179,4879,2024-10-12,64,In Stock
INV000134,PRD0027,WH-WEST-01,908,116,2859,2024-07-08,112,In Stock
INV000135,PRD0027,WH-CENTRAL-01,1700,62,4558,2024-08-25,74,In Stock
INV000136,PRD0028,WH-NORTH-01,1734,276,3274,2024-08-09,201,In Stock
INV000137,PRD0028,WH-SOUTH-01,119,172,2407,2023-04-11,250,Low Stock
INV000138,PRD0028,WH-EAST-01,1755,122,3113,2023-09-04,15,In Stock
INV000139,PRD0028,WH-WEST-01,1275,101,4711,2023-01-06,156,In Stock
INV000140,PRD0028,WH-CENTRAL-01,1947,98,1818,2024-11-19,228,In Stock
INV000141,PRD0029,WH-NORTH-01,21,87,3302,2023-04-16,275,Low Stock
INV000142,PRD0029,WH-SOUTH-01,890,59,3357,2023-06-11,127,In Stock
INV000143,PRD0029,WH-EAST-01,1250,216,4321,2024-10-16,107,In Stock
INV000144,PRD0029,WH-WEST-01,1686,216,4839,2024-10-19,265,In Stock
INV000145,PRD0029,WH-CENTRAL-01,918,120,4020,2023-03-23,339,In Stock
INV000146,PRD0030,WH-NORTH-01,1765,100,3852,2023-04-06,234,In Stock
INV000147,PRD0030,WH-SOUTH-01,1225,151,4617,2023-08-01,149,In Stock
INV000148,PRD0030,WH-EAST-01,849,86,3236,2023-01-08,139,In Stock
INV000149,PRD0030,WH-WEST-01,1117,274,1977,2024-07-12,112,In Stock
INV000150,PRD0030,WH-CENTRAL-01,465,118,3375,2023-05-09,170,In Stock
INV000151,PRD0031,WH-NORTH-01,806,70,3235,2024-04-06,232,In Stock
INV000152,PRD0031,WH-SOUTH-01,1706,246,1634,2024-02-09,86,In Stock
INV000153,PRD0031,WH-EAST-01,524,216,4724,2024-06-09,339,In Stock
INV000154,PRD0031,WH-WEST-01,1573,246,3433,2024-03-17,289,In Stock
INV000155,PRD0031,WH-CENTRAL-01,494,291,4688,2024-10-14,7,In Stock
INV000156,PRD0032,WH-NORTH-01,1701,113,2703,2023-12-29,317,In Stock
INV000157,PRD0032,WH-SOUTH-01,1322,118,3147,2023-01-30,193,In Stock
INV000158,PRD0032,WH-EAST-01,1312,112,3680,2024-11-21,55,In Stock
INV000159,PRD0032,WH-WEST-01,898,71,4008,2024-11-17,245,In Stock
INV000160,PRD0032,WH-CENTRAL-01,251,83,4131,2023-11-28,160,In Stock
INV000161,PRD0033,WH-NORTH-01,1660,175,4152,2023-06-29,82,In Stock
INV000162,PRD0033,WH-SOUTH-01,981,279,4221,2023-06-29,10,In Stock
INV000163,PRD0033,WH-EAST-01,1024,209,1915,2024-01-24,59,In Stock
INV000164,PRD0033,WH-WEST-01,27,213,4703,2023-06-19,5,Low Stock
INV000165,PRD0033,WH-CENTRAL-01,1281,282,4485,2024-06-17,215,In Stock
INV000166,PRD0034,WH-NORTH-01,7,115,3096,2023-05-22,185,Low Stock
