return_id,order_id,product_id,customer_id,return_date,return_reason,refund_type,refund_amount,restocking_fee,condition_on_return,processed_by
RET0000001,ORD0097149,PRD0235,CUST011455,2024-07-14,Wrong Item Shipped,Full Refund,707.97,6.02,Like New,EMP0169
RET0000002,ORD0081923,PRD0458,CUST018719,2024-01-25,Not As Described,Full Refund,1907.84,3.88,Good,EMP0032
RET0000003,ORD0092470,PRD0351,CUST003668,2024-01-23,Changed Mind,Full Refund,134.13,12.73,Good,EMP0025
RET0000004,ORD0074821,PRD0443,CUST009393,2023-05-02,Damaged in Transit,Full Refund,786.86,3.83,Like New,EMP0106
RET0000005,ORD0090630,PRD0001,CUST000970,2024-10-06,Late Delivery,Exchange,942.72,9.16,Poor,EMP0102
RET0000006,ORD0010189,PRD0050,CUST000432,2023-11-09,Changed Mind,Exchange,1417.81,9.2,Good,EMP0090
RET0000007,ORD0077725,PRD0158,CUST004876,2023-01-18,Damaged in Transit,Partial Refund,3852.13,8.2,Like New,EMP0185
RET0000008,ORD0088890,PRD0226,CUST013731,2023-08-24,Defective Product,Full Refund,2130.24,10.14,Like New,EMP0142
RET0000009,ORD0069843,PRD0468,CUST007663,2023-07-02,Not As Described,Partial Refund,112.92,11.07,Like New,EMP0086
RET0000010,ORD0014226,PRD0099,CUST001963,2023-12-10,Not As Described,Full Refund,3498.22,7.84,Like New,EMP0020
RET0000011,ORD0000990,PRD0070,CUST005353,2023-06-26,Late Delivery,Partial Refund,2470.24,9.81,Like New,EMP0038
RET0000012,ORD0037725,PRD0477,CUST011683,2024-07-02,Defective Product,Partial Refund,3346.19,13.52,Fair,EMP0097
RET0000013,ORD0010387,PRD0046,CUST003273,2023-03-18,Better Price Found,Partial Refund,190.78,10.89,Good,EMP0195
RET0000014,ORD0092758,PRD0449,CUST009450,2024-06-13,Damaged in Transit,Exchange,4506.24,3.3,Like New,EMP0184
RET0000015,ORD0031223,PRD0300,CUST019216,2023-05-21,Defective Product,Exchange,31.78,7.46,Poor,EMP0138
RET0000016,ORD0074989,PRD0494,CUST013260,2024-04-02,Defective Product,Partial Refund,1170.5,4.51,Like New,EMP0010
RET0000017,ORD0022347,PRD0245,CUST011164,2024-06-20,Better Price Found,Partial Refund,4618.46,4.16,Like New,EMP0121
RET0000018,ORD0010861,PRD0024,CUST014977,2023-11-25,Damaged in Transit,Exchange,1240.65,8.57,Fair,EMP0095
RET0000019,ORD0078853,PRD0185,CUST014249,2023-08-10,Damaged in Transit,Exchange,2424.35,7.68,Fair,EMP0179
RET0000020,ORD0037966,PRD0128,CUST011016,2024-10-28,Duplicate Order,Exchange,135.32,8.09,Fair,EMP0106
RET0000021,ORD0020950,PRD0243,CUST002769,2025-01-07,Wrong Item Shipped,Partial Refund,539.18,5.22,Like New,EMP0085
RET0000022,ORD0023514,PRD0177,CUST001118,2023-04-01,Wrong Item Shipped,Partial Refund,1512.05,2.31,Damaged,EMP0078
RET0000023,ORD0001822,PRD0068,CUST012071,2024-02-08,Late Delivery,Full Refund,1216.62,10.54,Good,EMP0060
RET0000024,ORD0006020,PRD0318,CUST002636,2023-07-31,Late Delivery,Exchange,2237.16,12.86,Fair,EMP0149
RET0000025,ORD0052165,PRD0128,CUST017819,2023-03-23,Damaged in Transit,Partial Refund,1418.38,5.67,Like New,EMP0123
RET0000026,ORD0016718,PRD0043,CUST001271,2024-09-08,Duplicate Order,Exchange,2452.87,13.47,Good,EMP0022
RET0000027,ORD0009088,PRD0290,CUST017898,2023-10-04,Damaged in Transit,Full Refund,2051.72,11.7,Like New,EMP0020
RET0000028,ORD0047211,PRD0013,CUST004647,2024-02-26,Late Delivery,Partial Refund,1287.98,2.82,Like New,EMP0053
RET0000029,ORD0008863,PRD0037,CUST019937,2023-06-29,Changed Mind,Exchange,3469.74,12.42,Poor,EMP0069
RET0000030,ORD0003877,PRD0277,CUST007850,2023-05-29,Late Delivery,Exchange,4655.24,9.82,Fair,EMP0174
RET0000031,ORD0052872,PRD0162,CUST006909,2024-06-05,Damaged in Transit,Exchange,4236.78,14.16,Poor,EMP0085
RET0000032,ORD0021368,PRD0125,CUST019579,2024-09-19,Damaged in Transit,Exchange,5039.96,14.87,Poor,EMP0194
RET0000033,ORD0016880,PRD0370,CUST011017,2024-04-10,Duplicate Order,Exchange,4499.65,3.67,Good,EMP0151
RET0000034,ORD0072787,PRD0046,CUST014578,2024-05-05,Changed Mind,Partial Refund,2446.2,14.52,Like New,EMP0106
RET0000035,ORD0078434,PRD0151,CUST019891,2023-11-05,Changed Mind,Exchange,210.45,8.22,Good,EMP0124
RET0000036,ORD0055494,PRD0229,CUST005577,2023-02-26,Wrong Item Shipped,Partial Refund,3894.05,7.19,Poor,EMP0061
RET0000037,ORD0002039,PRD0263,CUST012767,2023-09-17,Defective Product,Full Refund,2075.81,6.36,Damaged,EMP0187
RET0000038,ORD0052916,PRD0472,CUST008242,2024-11-16,Defective Product,Exchange,2443.49,11.28,Like New,EMP0105
RET0000039,ORD0054177,PRD0167,CUST002604,2024-03-29,Damaged in Transit,Full Refund,4408.46,8.6,Like New,EMP0177
RET0000040,ORD0051885,PRD0196,CUST012439,2024-04-15,Not As Described,Full Refund,455.51,7.45,Good,EMP0100
RET0000041,ORD0013791,PRD0420,CUST014491,2023-11-28,Better Price Found,Exchange,2459.67,0.94,Good,EMP0155
RET0000042,ORD0077849,PRD0456,CUST011552,2023-06-29,Better Price Found,Full Refund,48.1,12.32,Good,EMP0081
RET0000043,ORD0021624,PRD0303,CUST007808,2024-02-09,Better Price Found,Exchange,176.64,7.53,Poor,EMP0158
RET0000044,ORD0052808,PRD0037,CUST010398,2024-03-02,Better Price Found,Exchange,465.88,1.22,Like New,EMP0118
RET0000045,ORD0066278,PRD0369,CUST015173,2023-10-02,Late Delivery,Full Refund,887.18,11.95,Like New,EMP0187
RET0000046,ORD0014073,PRD0222,CUST010294,2024-10-11,Better Price Found,Exchange,7710.73,12.51,Good,EMP0036
RET0000047,ORD0082617,PRD0201,CUST002620,2023-06-06,Duplicate Order,Partial Refund,277.56,2.53,Good,EMP0052
RET0000048,ORD0007795,PRD0441,CUST018242,2024-10-25,Damaged in Transit,Partial Refund,253.33,0.77,Good,EMP0040
RET0000049,ORD0057967,PRD0254,CUST002876,2023-12-24,Duplicate Order,Full Refund,601.42,0.51,Good,EMP0141
RET0000050,ORD0040635,PRD0046,CUST014309,2024-04-11,Wrong Item Shipped,Exchange,857.34,13.57,Like New,EMP0092
RET0000051,ORD0053241,PRD0140,CUST013642,2023-01-31,Changed Mind,Partial Refund,34.68,0.47,Good,EMP0045
RET0000052,ORD0051097,PRD0391,CUST018345,2024-12-25,Defective Product,Full Refund,1224.37,11.3,Like New,EMP0023
RET0000053,ORD0083748,PRD0197,CUST010213,2023-03-08,Not As Described,Full Refund,1502.67,9.7,Like New,EMP0188
RET0000054,ORD0013334,PRD0200,CUST018398,2024-01-15,Changed Mind,Partial Refund,568.44,9.27,Good,EMP0004
RET0000055,ORD0099565,PRD0145,CUST008029,2024-06-26,Not As Described,Partial Refund,3334.91,5.09,Like New,EMP0016
RET0000056,ORD0047644,PRD0488,CUST000039,2025-01-25,Changed Mind,Exchange,3117.91,7.08,Fair,EMP0124
RET0000057,ORD0003342,PRD0289,CUST009887,2023-12-11,Damaged in Transit,Exchange,133.74,2.42,Good,EMP0137
RET0000058,ORD0002207,PRD0360,CUST008733,2024-12-22,Defective Product,Full Refund,156.72,2.36,Good,EMP0028
RET0000059,ORD0012370,PRD0137,CUST014054,2023-05-02,Better Price Found,Partial Refund,3091.02,4.03,Like New,EMP0165
RET0000060,ORD0091022,PRD0017,CUST019654,2024-05-01,Duplicate Order,Full Refund,2355.6,7.05,Like New,EMP0173
RET0000061,ORD0087853,PRD0024,CUST001760,2024-11-04,Better Price Found,Partial Refund,494.32,6.19,Like New,EMP0040
RET0000062,ORD0080101,PRD0098,CUST016223,2024-02-21,Wrong Item Shipped,Exchange,2610.32,10.95,Fair,EMP0140
